link,lat,lon,location_flag
https://precondo.ca/edenbridge-kingsway-condos/,43.6608171,-79.51859,1
https://precondo.ca/5-jopling-avenue-south-condos/,43.6381303,-79.5378415,1
https://precondo.ca/875-the-queensway-condos/,43.624168,-79.510872,1
https://precondo.ca/933-the-queensway-condos/,43.6239127,-79.5120995,1
https://precondo.ca/kazmir-condos/,43.62472,-79.51097,1
https://precondo.ca/distrikt-islington-village-towns/,43.6489809,-79.5304199,1
https://precondo.ca/1001-the-queensway-condos/,43.6231519,-79.5152455,1
https://precondo.ca/thirty-six-zorra/,43.6197328,-79.5217067,1
https://precondo.ca/859-west-queensway-condos/,43.6242798,-79.5105895,1
https://precondo.ca/notting-hill-condos/,43.6833646,-79.5235547,1
https://precondo.ca/evermore-condos/,43.6394687,-79.5642047,1
https://precondo.ca/waters-edge-at-the-cove-condos/,43.6252317,-79.4800264,1
https://precondo.ca/anthem-at-the-metalworks-condos/,43.54516,-80.24011,1
https://precondo.ca/the-copper-club/,43.54615,-80.24193,1
https://precondo.ca/edgewater-condos/,43.5417408,-80.2423075,1
https://precondo.ca/northside-townhomes/,43.5677587,-80.2786514,1
https://precondo.ca/the-design-district-condos/,43.21769,-79.98983,1
https://precondo.ca/the-moderne-condos/,43.2552033,-79.8659232,1
https://precondo.ca/apex-condominiums/,43.25758,-79.87995,1
https://precondo.ca/corktown-condos/,43.2500023,-79.8679212,1
https://precondo.ca/75-james-condominiums/,43.2545891,-79.8697884,1
https://precondo.ca/westgate-on-main-condos/,43.25911,-79.88678,1
https://precondo.ca/1107-main-street-west-condos/,43.2579067,-79.9099643,1
https://precondo.ca/century-condos/,43.18643,-79.53729,1
https://precondo.ca/jamesville-lofts/,43.26066,-79.86811,1
https://precondo.ca/alexander-townes/,43.25941,-79.87868,1
https://precondo.ca/parallel-towns/,43.34016,-79.88442,1
https://precondo.ca/kings-park-condominiums/,43.29266,-79.99944,1
https://precondo.ca/dundurn-lofts/,43.25505,-79.8914,1
https://precondo.ca/television-city-condos/,43.257655516884,-79.88273531803,1
https://precondo.ca/the-residences-at-watershore/,43.2305474,-79.6788455,1
https://precondo.ca/the-village-at-st-elizabeth-mills-condos/,43.20671,-79.91053,1
https://precondo.ca/the-independent-condos/,43.25434,-79.86122,1
https://precondo.ca/inspiration-point-condos/,43.20178,-79.55108,1
https://precondo.ca/radio-arts-condos/,43.25865,-79.87534,1
https://precondo.ca/the-jackson/,43.22047,-79.776077,1
https://precondo.ca/the-emily-condominium/,45.3418803,-79.2033956,1
https://precondo.ca/woodstream-homes/,45.3489339,-79.2040369,1
https://precondo.ca/lakehaven-homes/,44.350794,-79.5474332,1
https://precondo.ca/simcoe-woods-homes/,44.3122164,-79.5702214,1
https://precondo.ca/fifth-avenue-homes/,43.9314979,-79.5182426,1
https://precondo.ca/king-terraces-condos/,51.253775,-85.3232139,1
https://precondo.ca/q-condos/,43.45061,-80.48889,1
https://precondo.ca/viva-towns/,43.44417,-80.49487,1
https://precondo.ca/south-creek-towns/,43.3773572,-80.4437635,1
https://precondo.ca/doon-west/,43.37892,-80.44723,1
https://precondo.ca/garment-street-condos/,43.44967,-80.50158,1
https://precondo.ca/young-condos-at-city-centre/,43.45078,-80.49117,1
https://precondo.ca/the-flats-at-rainbow-lake/,43.37368,-80.41861,1
https://precondo.ca/verde-living-east-condos/,43.4225813,-80.4933229,1
https://precondo.ca/condos-laval-sur-le-lac/,45.53447,-73.87835,1
https://precondo.ca/the-heathwoods-at-lambeth-towns/,42.9169812,-81.297754,1
https://precondo.ca/fox-crossing-homes/,43.02384,-81.33234,1
https://precondo.ca/willow-townhomes/,43.0375662,-81.2964856,1
https://precondo.ca/brightwater-condos/,43.544523,-79.589093,1
https://precondo.ca/artform-condos/,43.5818905,-79.6136146,1
https://precondo.ca/high-line-condos/,43.5382494,-79.7381194,1
https://precondo.ca/rise-at-stride-condos/,43.5661409,-79.5705211,1
https://precondo.ca/exchange-district-condos/,43.5907173,-79.6398155,1
https://precondo.ca/square-one-district-condos/,43.59017,-79.64987,1
https://precondo.ca/canopy-towers/,43.60895,-79.6554,1
https://precondo.ca/30-bristol-road-east-condos/,43.6145715,-79.662797,1
https://precondo.ca/whitehorn-woods-towns/,43.60162,-79.70689,1
https://precondo.ca/lakeview-village-condos/,43.582503,-79.5521367,1
https://precondo.ca/oro-at-edge-towers/,43.5899078,-79.631414,1
https://precondo.ca/the-kith-condos/,43.5564175,-79.7027835,1
https://precondo.ca/emerson-house-condos/,43.5443025,-79.6548155,1
https://precondo.ca/lorne-park-place/,43.53081,-79.61774,1
https://precondo.ca/crestview-manors/,43.57157,-79.5949,1
https://precondo.ca/1695-dundas-street-west-condos/,43.54475,-79.6552,1
https://precondo.ca/m-city-condos/,43.5841,-79.6446069,1
https://precondo.ca/the-sanctuaries-at-serson/,43.5822054,-79.5633169,1
https://precondo.ca/exhale-condus/,43.58502,-79.55095,1
https://precondo.ca/odea/,45.49734,-73.55752,1
https://precondo.ca/imperia-condominiums/,45.5066592,-73.5679844,1
https://precondo.ca/wellington-sur-le-bassin/,45.49217,-73.55793,1
https://precondo.ca/1111-atwater-condos/,45.4871,-73.58201,1
https://precondo.ca/cite-midtown/,45.5031787,-73.6752642,1
https://precondo.ca/maa-condominiums-penthouses/,45.5009917,-73.5757142,1
https://precondo.ca/1-square-phillips/,45.503923,-73.567921,1
https://precondo.ca/yul-condos/,45.4945357,-73.5737127,1
https://precondo.ca/quinzecent-condos/,45.4939045,-73.5743739,1
https://precondo.ca/maestria-condos/,45.5066201,-73.5663796,1
https://precondo.ca/sir-charles-condominiums/,45.5230265,-73.5194358,1
https://precondo.ca/oria-condominiums-phase-2/,45.44945,-73.42753,1
https://precondo.ca/mansfield-condos/,45.50104,-73.57105,1
https://precondo.ca/citta-condos/,45.58444,-73.60492,1
https://precondo.ca/henri-b/,45.55663,-73.67031,1
https://precondo.ca/orizon-condominiums-phase-3/,45.51458,-73.63024,1
https://precondo.ca/le-984-notre-dame/,45.77177,-73.41307,1
https://precondo.ca/tom-condos/,45.50284,-73.56768,1
https://precondo.ca/gare-du-canal-condominiums-phase-2/,45.43873,-73.66337,1
https://precondo.ca/le-carre-centre-sud/,45.48286,-73.56244,1
https://precondo.ca/nest-condos/,45.49639,-73.57423,1
https://precondo.ca/amelia-by-the-lake/,45.51646,-73.70897,1
https://precondo.ca/curtiss-alpha-condos/,45.51653,-73.7132,1
https://precondo.ca/myx-townhouses/,45.47288,-73.53827,1
https://precondo.ca/crown-condos/,45.54006,-73.66781,1
https://precondo.ca/carre-des-arts/,45.52104,-73.564,1
https://precondo.ca/drummond-condominiums/,45.49829,-73.57322,1
https://precondo.ca/le-solano/,45.51283,-73.54913,1
https://precondo.ca/le-newman/,45.4424,-73.6204,1
https://precondo.ca/luxxcite-condos/,45.67747,-73.9248,1
https://precondo.ca/theatre-snowdon-condominiums/,45.48498,-73.63115,1
https://precondo.ca/628-saint-jacques-condominiums/,45.50052,-73.56085,1
https://precondo.ca/jardins-st-lo-condominiums/,45.54786,-73.66341,1
https://precondo.ca/villanova-condos/,45.43479,-73.66422,1
https://precondo.ca/eli-condos/,45.51222,-73.56214,1
https://precondo.ca/edwin-condos/,45.47945,-73.57182,1
https://precondo.ca/condos-aera/,45.5443,-73.58048,1
https://precondo.ca/monarc-condominiums/,45.502251,-73.706017,1
https://precondo.ca/l82-condos/,45.4920463,-73.5609188,1
https://precondo.ca/centracondos-1000-rue-de-la-montagne/,45.4956774,-73.5706848,1
https://precondo.ca/enticy-condos/,45.4950955,-73.5761318,1
https://precondo.ca/noca-condos/,45.4894371,-73.5620279,1
https://precondo.ca/solstice-montreal-condos/,45.4964397,-73.5706624,1
https://precondo.ca/aquablu-condos/,45.5202901,-73.7807329,1
https://precondo.ca/roccabella-condos/,45.4968589,-73.5716452,1
https://precondo.ca/victoria-sur-le-parc/,45.4999871,-73.5612939,1
https://precondo.ca/tak-village-condos/,45.5450282,-73.5692835,1
https://precondo.ca/zenith-condos/,45.516581,-73.5602249,1
https://precondo.ca/evolo-nex-pointed-nord-community-condos/,45.4714568,-73.5381527,1
https://precondo.ca/lomboi-condos/,45.5492008,-73.5964295,1
https://precondo.ca/signature-bois-franc-condos/,45.51073,-73.6936,1
